,entry_time,signal_value,exit_time,view_name,signal_asset
122,3/1/2016,1,4/1/2016,spy_view,Long
123,4/1/2016,1,5/2/2016,spy_view,Long
124,5/2/2016,1,6/1/2016,spy_view,Long
125,6/1/2016,1,7/1/2016,spy_view,Long
126,7/1/2016,1,8/1/2016,spy_view,Long
127,8/1/2016,1,9/1/2016,spy_view,Long
128,9/1/2016,1,10/3/2016,spy_view,Long
129,10/3/2016,1,11/1/2016,spy_view,Long
130,11/1/2016,1,12/1/2016,spy_view,Long
131,12/1/2016,1,1/3/2017,spy_view,Long
132,1/3/2017,1,2/1/2017,spy_view,Long
133,2/1/2017,1,3/1/2017,spy_view,Long
134,3/1/2017,1,4/3/2017,spy_view,Long
135,4/3/2017,1,5/1/2017,spy_view,Long
136,5/1/2017,1,6/1/2017,spy_view,Long
137,6/1/2017,1,7/3/2017,spy_view,Long
138,7/3/2017,1,8/1/2017,spy_view,Long
139,8/1/2017,1,9/1/2017,spy_view,Long
140,9/1/2017,1,10/2/2017,spy_view,Long
141,10/2/2017,1,11/1/2017,spy_view,Long
142,11/1/2017,1,12/1/2017,spy_view,Long
