,Unnamed: 0,date,cusip,dcm_security_id
3678910,3678910,2023-05-26,369604301,3149
3678911,3678911,2023-05-26,36266G107,60853
3678912,3678912,2023-05-26,668771108,7272
3678913,3678913,2023-05-26,G39387108,58685
3678914,3678914,2023-05-26,384109104,3190
3678915,3678915,2023-05-26,40131M109,52491
3678916,3678916,2023-05-26,375558103,3212
3678917,3678917,2023-05-26,370334104,3214
3678918,3678918,2023-05-26,37959E102,7488
3678919,3678919,2023-05-26,L44385109,47330
3678920,3678920,2023-05-26,36467J108,45656
3678921,3678921,2023-05-26,219350105,3241
3678922,3678922,2023-05-26,37045V100,40430
3678923,3678923,2023-05-26,36467W109,23438
3678924,3678924,2023-05-26,379577208,43252
3678925,3678925,2023-05-26,368736104,39208
3678926,3678926,2023-05-26,371901109,3286
3678927,3678927,2023-05-26,39874R101,53273
3678928,3678928,2023-05-26,02079K107,46631
3678929,3678929,2023-05-26,02079K305,26578
3678930,3678930,2023-05-26,372460105,3306
3678931,3678931,2023-05-26,388689101,25429
3678932,3678932,2023-05-26,37940X102,22443
3678933,3678933,2023-05-26,364760108,3321
3678934,3678934,2023-05-26,H2906T109,22316
3678935,3678935,2023-05-26,38141G104,20088
3678936,3678936,2023-05-26,G39108108,51693
3678937,3678937,2023-05-26,40171V100,42402
3678938,3678938,2023-05-26,384802104,3421
3678939,3678939,2023-05-26,36262G101,57860
3678940,3678940,2023-05-26,448579102,38909
3678941,3678941,2023-05-26,406216101,3443
3678942,3678942,2023-05-26,418056107,3460
3678943,3678943,2023-05-26,421298100,56464
3678944,3678944,2023-05-26,446150104,3472
3678945,3678945,2023-05-26,410345102,32497
3678946,3678946,2023-05-26,40412C101,41047
3678947,3678947,2023-05-26,437076102,3496
3678948,3678948,2023-05-26,419870100,3509
3678949,3678949,2023-05-26,422806109,3519
3678950,3678950,2023-05-26,422806208,18568
3678951,3678951,2023-05-26,42809H107,216
3678952,3678952,2023-05-26,44267D107,40378
3678953,3678953,2023-05-26,416515104,14064
3678954,3678954,2023-05-26,446413106,41111
3678955,3678955,2023-05-26,431284108,11492
3678956,3678956,2023-05-26,43300A203,45993
3678957,3678957,2023-05-26,412822108,3499
3678958,3678958,2023-05-26,436440101,3629
3678959,3678959,2023-05-26,438516106,25090
3678960,3678960,2023-05-26,770700102,57921
3678961,3678961,2023-05-26,42824C109,49506
3678962,3678962,2023-05-26,444097109,39816
3678963,3678963,2023-05-26,40434L105,3735
3678964,3678964,2023-05-26,42226K105,43032
3678965,3678965,2023-05-26,093671105,3660
3678966,3678966,2023-05-26,440452100,3668
3678967,3678967,2023-05-26,806407102,13862
3678968,3678968,2023-05-26,44107P104,9947
3678969,3678969,2023-05-26,427866108,3695
3678970,3678970,2023-05-26,42806J700,58808
3678971,3678971,2023-05-26,443510607,3714
3678972,3678972,2023-05-26,443573100,47872
3678973,3678973,2023-05-26,444859102,3718
3678974,3678974,2023-05-26,447011107,27030
3678975,3678975,2023-05-26,443201108,2
3678976,3678976,2023-05-26,428291108,3738
3678977,3678977,2023-05-26,G46188101,41766
3678978,3678978,2023-05-26,44891N208,54352
3678979,3678979,2023-05-26,457985208,18727
3678980,3678980,2023-05-26,45841N107,33807
3678981,3678981,2023-05-26,459200101,3766
3678982,3678982,2023-05-26,45866F104,27809
3678983,3678983,2023-05-26,44930G107,3796
3678984,3678984,2023-05-26,451107106,3798
